"year","result"
"2004","21"
"2005","99103"
"2006","70301"
"2007","33870"
"2008","24013"
"2009","76398"
"2010","331477"
"2011","152630"
"2012","457593"
"2013","470890"
"2014","1415583"
"2015","1828172"
"2016","2181953"
"2017","3011814"
"2018","3561342"
"2019","3603581"
