year,result
2003,10499
2004,8791
2005,2704
2006,71186
2007,37223
2008,42831
2009,144155
2010,67372
2011,67010
2012,69627
2013,82222
2014,53739
2015,70547
2016,73552
2017,130788
2018,102744
2019,100597 
