"year","result"
"1966",355944
"1967",382024
"1968",398328
"1969",419191
"1970",476041
"1971",466626
"1972",495147
"1973",513196
"1974",527622
"1975",544224
"1976",562748
"1977",590217
"1978",618901
"1979",643845
"1980",680403
"1981",710638
"1982",726709
"1983",759774
"1984",803400
"1985",826312
"1986",865847
"1987",918530
"1988",960090
"1989",1013509
"1990",1063604
"1991",1089418
"1992",1123701
"1993",1164556
"1994",1203296
"1995",1279808
"1996",1331680
"1997",1373137
"1998",1412793
"1999",1437215
"2000",1725021
"2001",1640884
"2002",1684859
"2003",1929801
"2004",2039445
"2005",2118824
"2006",2359021
"2007",2729183
"2008",2762436
"2009",3062906
"2010",3388616
"2011",3576229
"2012",3649677
"2013",3973985
"2014",4133753
"2015",4294135
"2016",4673690
"2017",5088048
"2018",5424796
"2019",5883887
"2020",3493873
"2021",4657
"2022",94
"2023",3
"2024",78
"2025",1
"2026",3
"2027",1
"2028",4
"2029",4
"2031",25
"2038",3
"2041",8
"2042",23
"2043",1
"2044",49
"2045",1
"2047",11
"2048",1
"2049",1
"2050",1
"2051",18
"2055",1
"2059",1
"2061",2
"2075",1
"2077",1
"2079",1
"2081",22
"2086",1
"2088",23
"2091",2
"2099",2
"2100",29
"2101",1
"2102",1
"2103",25
"2104",13
"2105",21
"2106",34
"2107",6
"2108",20
"2109",12
"2114",29
"2115",24
"2116",16
"2117",5
"2121",5
"2200",1
"2203",20
