"year","result"
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,522935
2008,150180
2009,238767
2010,265433
2011,1433019
2012,1131661
2013,1969461
2014,2097020
2015,2463987
2016,8428649
2017,19217606
2018,26184383
2019,46011566
